5	70924848	1
5	70924849	1
5	70924850	3
5	70924851	3
5	70924852	3
5	70924853	3
5	70924854	3
5	70924855	4
5	70924856	50
5	70924857	75
5	70924858	78
5	70924859	198
5	70924860	217
5	70924861	338
5	70924862	345
5	70924863	347
5	70924864	386
5	70924865	403
5	70924866	415
5	70924867	422
5	70924868	422
5	70924869	428
5	70924870	438
5	70924871	431
5	70924872	416
5	70924873	337
5	70924874	386
5	70924875	421
5	70924876	446
5	70924877	447
5	70924878	449
5	70924879	454
5	70924880	458
5	70924881	459
5	70924882	460
5	70924883	458
5	70924884	470
5	70924885	462
5	70924886	482
5	70924887	484
5	70924888	484
5	70924889	486
5	70924890	483
5	70924891	488
5	70924892	493
5	70924893	493
5	70924894	501
5	70924895	502
5	70924896	512
5	70924897	534
5	70924898	546
5	70924899	602
5	70924900	624
5	70924901	629
5	70924902	638
5	70924903	643
5	70924904	648
5	70924905	622
5	70924906	655
5	70924907	657
5	70924908	659
5	70924909	659
5	70924910	656
5	70924911	672
5	70924912	676
5	70924913	678
5	70924914	680
5	70924915	688
5	70924916	673
5	70924917	672
5	70924918	608
5	70924919	675
5	70924920	720
5	70924921	733
5	70924922	736
5	70924923	736
5	70924924	746
5	70924925	751
5	70924926	751
5	70924927	744
5	70924928	658
5	70924929	744
5	70924930	746
5	70924931	743
5	70924932	745
5	70924933	744
5	70924934	754
5	70924935	759
5	70924936	757
5	70924937	773
5	70924938	791
5	70924939	791
5	70924940	810
5	70924941	812
5	70924942	816
5	70924943	813
5	70924944	805
5	70924945	784
5	70924946	823
5	70924947	824
5	70924948	819
5	70924949	824
5	70924950	826
5	70924951	615
5	70924952	846
5	70924953	849
5	70924954	854
5	70924955	844
5	70924956	861
5	70924957	865
5	70924958	865
5	70924959	857
5	70924960	867
5	70924961	868
5	70924962	866
5	70924963	875
5	70924964	876
5	70924965	887
5	70924966	886
5	70924967	851
5	70924968	775
5	70924969	877
5	70924970	875
5	70924971	854
5	70924972	869
5	70924973	869
5	70924974	917
5	70924975	931
5	70924976	931
5	70924977	929
5	70924978	934
5	70924979	929
5	70924980	925
5	70924981	811
5	70924982	921
5	70924983	908
5	70924984	909
5	70924985	947
5	70924986	954
5	70924987	954
5	70924988	950
5	70924989	947
5	70924990	955
5	70924991	962
5	70924992	951
5	70924993	952
5	70924994	965
5	70924995	998
5	70924996	986
5	70924997	995
5	70924998	997
5	70924999	997
5	70925000	903
5	70925001	904
5	70925002	992
5	70925003	997
5	70925004	844
5	70925005	1021
5	70925006	1017
5	70925007	1011
5	70925008	1020
5	70925009	1018
5	70925010	1019
5	70925011	1020
5	70925012	1018
5	70925013	1027
5	70925014	987
5	70925015	1005
